,"gouvernement","nouveau","france","trouver","canada","saint","déclarer","bien","état","rendre","premier","ministre","aller","moi","dernier","foi","montréal","langue","million","rester","dire","étranger","jour","national","elle","cinq","cent","prendre","autre","province","encore","nous","donner","important","américain","affaire","affirmer","cour","chef","devoir","travail","tenir","président","monde","états","unis","avant","anglais","problème","fédéral","temps","notamment","point","grand","général","gaulle","politique","trois","paris","je","ottawa","savoir","lui","homme","vouloir","venir","notre","non","voir","dix","plusieurs","pays","économique","jean","permettre","libéral","jeune","contre","parti","social","francophone","québécois","culturel"
"absolu",1,0,0,1,2,2,1,0,1,1,0,0,0,0,0,1,2,0,0,3,0,1,0,0,3,0,2,1,1,0,1,3,4,1,1,0,1,0,1,2,0,1,1,2,0,1,1,1,0,0,0,0,1,2,0,0,1,4,0,0,0,0,5,2,1,1,1,1,0,1,1,1,0,0,4,6,0,0,7,0,0,0,0
"accès",3,1,0,0,3,0,0,0,2,0,1,3,0,0,0,0,1,2,2,2,1,0,1,2,2,0,0,0,3,1,3,3,1,0,1,1,1,0,1,1,2,1,1,4,1,2,0,3,1,1,2,0,1,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,0,2,0,0,0,1,2,0,1,0,0,0,2,3,1
"adhésion",4,1,3,0,3,0,1,4,0,0,1,3,1,0,1,0,0,0,1,1,1,0,0,1,4,0,0,2,2,0,1,2,5,1,1,2,1,0,0,3,0,0,0,0,1,0,0,0,1,0,2,2,1,4,2,2,0,0,0,0,1,0,3,1,0,1,1,1,0,0,0,2,3,0,1,1,0,2,2,0,1,0,0
"adversaire",1,2,1,1,0,1,1,6,1,0,5,6,2,0,1,3,0,0,0,2,2,0,0,1,1,1,0,1,0,0,1,2,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,2,7,0,0,0,2,1,0,0,2,1,1,1,1,4,0,1,2,0,0,3,0
"allié",3,0,4,0,4,0,0,4,2,0,1,1,3,0,0,1,0,0,0,1,3,2,0,2,3,0,0,2,2,0,1,1,1,1,3,2,1,1,3,3,0,0,2,2,4,4,2,1,0,0,1,1,0,2,4,4,3,0,3,0,2,0,2,1,1,0,4,0,0,0,0,5,3,0,2,1,0,2,2,0,0,0,1
"allusion",4,1,3,1,5,0,2,1,2,0,4,3,0,0,1,1,2,0,0,0,3,0,1,1,1,0,0,0,0,3,1,1,1,0,0,0,1,2,0,2,1,1,2,0,0,0,1,0,2,0,0,0,1,2,4,3,2,0,1,4,1,0,3,0,1,0,3,2,1,0,1,2,1,0,0,0,0,0,0,1,1,5,2
"animateur",1,0,5,2,2,2,0,0,1,0,2,0,0,0,0,0,2,2,0,0,1,0,0,1,2,2,1,2,1,1,1,4,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,4,0,2,3,0,2,1,0,0,0,0,3,1,1,2,1,1,0,0,2,1,1,3,1,0,6,2,0,2,0,5,5
"anti",3,1,3,1,4,0,1,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,3,0,1,1,4,1,1,0,0,3,0,0,1,0,2,2,1,4,0,1,0,0,1,0,1,4,2,0,0,1,0,2,1,1,1,0,0,0,0,1,0,1,0,1,2,0,1,4,2,0,1,1,0
"apercevoir",2,2,2,0,0,1,0,3,1,1,1,0,1,0,0,0,2,1,0,0,2,1,0,2,5,0,1,2,3,2,1,2,3,0,0,2,0,1,1,0,0,0,0,1,1,0,1,1,2,0,0,1,0,5,5,2,2,0,0,2,1,0,8,4,1,2,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0
"appareil",2,1,0,1,7,0,1,1,1,0,1,1,0,2,4,0,3,3,0,2,2,1,0,0,2,2,0,0,4,2,0,2,2,0,3,1,1,0,1,4,0,0,0,0,1,2,0,1,2,4,0,2,0,3,0,0,4,2,1,0,1,1,4,0,1,1,1,0,0,0,1,3,0,0,2,2,0,2,4,0,0,3,0
