"id"	"liens"
1	2
2	3
3	0
4	1
5	0
6	2
7	1
8	1
9	2
10	3
11	2
12	1
13	3
14	2
15	3
16	1
17	2
18	0
19	1
20	2
21	1
22	3
23	1
24	4
25	2
26	1
27	2
28	4
29	2
30	1
31	1
32	0
33	0
34	1
35	2
36	0
37	3
38	0
39	1
40	1
41	3
42	2
43	1
44	3
45	0
46	2
47	2
48	2
49	2
50	3
51	2
52	3
53	3
54	3
55	4
56	0
57	0
58	1
59	1
60	1
61	4
62	2
63	1
64	1
65	4
66	1
67	1
68	2
69	2
70	3
71	2
72	2
73	0
74	2
75	2
76	2
77	1
78	4
79	2
80	1
81	1
82	3
83	2
84	2
85	2
86	0
87	2
88	2
89	2
90	3
91	3
92	1
93	1
94	2
95	2
96	0
97	2
98	2
99	1
100	3
101	0
102	4
103	1
104	1
105	4
106	1
107	1
108	3
109	2
110	3
111	4
112	1
113	1
114	4
115	1
116	0
117	2
118	3
119	2
120	3
121	2
122	3
123	4
124	2
125	2
126	2
127	2
128	3
129	3
130	4
131	3
132	2
133	2
134	2
135	2
136	2
137	2
138	4
139	6
140	1
141	8
142	1
143	3
144	3
145	3
146	5
147	2
148	2
149	0
150	3
151	2
152	4
153	2
154	3
155	1
156	0
157	5
158	2
159	1
160	3
161	4
162	2
163	3
164	2
165	3
166	5
167	3
168	4
169	2
170	2
171	1
172	4
173	4
174	1
175	3
176	3
177	3
178	2
179	0
180	3
181	4
182	3
183	6
184	2
185	2
186	5
187	1
188	3
189	1
190	1
191	1
192	2
193	3
194	2
195	2
196	2
197	1
198	3
199	1
200	4
201	3
202	4
203	3
204	3
205	0
206	4
207	4
208	3
209	2
210	1
211	2
212	0
213	6
214	2
215	2
216	1
217	2
218	2
