"Source";"Target"
1;"BLAdd5465"
2;"OxfBal230"
3;"OxfBal354"
3;"BLSl2593"
4;"BodDou302"
4;"BodArcSelB26"
4;"CamTCC1230"
5;"BodLauMis683"
5;"OxfBal354"
5;"NLWPork10"
5;"Har25258"
6;"NLS18721"
7;"NLWPen26"
7;"NLWLan53"
7;"NLWPen94"
8;"CULIi411"
9;"OxfLinLat141"
10;"BodSelSup52"
10;"BodAsh42"
10;"BodEngPoeta1"
10;"CULAdd8335"
10;"CULDd11"
10;"CULGg531"
10;"BLAdd22283"
10;"BLAdd38010"
10;"BLCottTibEVII"
10;"BLHar2391"
10;"BLHar4196"
10;"Lam260"
10;"MinULZ822"
10;"HunHM129"
11;"BodSelSup52"
11;"BodAsh42"
11;"BodEngPoeta1"
11;"CULAdd8335"
11;"CULDd11"
11;"CULGg531"
11;"BLAdd30358"
11;"BLAdd38010"
11;"BLCottTibEVII"
11;"BLHar2391"
11;"BLHar4196"
11;"EDCPCM"
11;"Lam260"
11;"HunHM129"
12;"HunHM129"
13;"BLAdd5465"
13;"NYPLDrexFr4180"
14;"CULHh412"
14;"CULIi321"
15;"Bod649"
16;"CULIi38"
17;"Corning6"
18;"CamStJohn195"
19;"CULGg427"
19;"BLHar3362"
20;"Bod26"
20;"UnivLon657"
21;"CamStJohn259"
21;"WestmAb20"
22;"BLAdd5665"
23;"BodSelSup52"
23;"BodAsh42"
23;"BodEngPoeta1"
23;"CULAdd8335"
23;"CULDd11"
23;"CULGg531"
23;"BLCottTibEVII"
23;"BLHar2391"
23;"BLHar4196"
23;"Lam260"
23;"MinULZ822"
23;"HunHM129"
24;"HunHM64"
25;"CULKk424"
26;"CULIi541"
26;"BLAdd27944"
26;"BLHar614"
26;"BLHar4789"
26;"Plimpton263"
26;"PierpontM875"
27;"HunEL26A13"
28;"BLHar682"
29;"NLWPork10"
30;"BodEngPoeta1"
30;"BLAdd22283"
31;"YaleBei163"
32;"Bridgewater"
33;"NLWPen53"
35;"NLS18721"
36;"BLHar7322"
37;"OxfBal354"
38;"BodLauMis77"
39;"BodEngPoete1"
40;"NLS18721"
41;"MelSLV096G94"
42;"Bod9"
42;"BodRawD328"
42;"BodRawPoe32"
42;"BLHar2321"
43;"BLIA3420"
45;"BodLauMis683"
45;"BLHar2251"
45;"BLLan699"
45;"Leiden"
46;"BodDig86"
47;"BodTan407"
47;"BLAdd60577"
48;"BodLauMis77"
49;"CamJes13"
50;"OxfMert248"
51;"BodRawB332"
52;"BLAdd33956"
53;"BodDou52"
53;"BodRawD328"
53;"OxfBal354"
53;"BLAdd37075"
53;"RylandsLat394"
54;"BodEngPoeta1"
55;"OxfBal354"
56;"BodSelSup52"
56;"BodEngPoeta1"
56;"BodEngPoetc3"
56;"CULAdd8335"
56;"CULDd11"
56;"CULGg531"
