"from","to"
400,103
401,151
402,368
403,131
404,20
405,147
406,117
407,20
408,20
409,376
410,21
411,96
412,139
413,11
414,10
415,7
416,11
417,119
418,397
419,118
420,11
421,142
422,26
423,116
424,147
425,117
426,52
427,173
428,145
429,3
430,21
431,97
432,337
433,94
434,281
435,94
436,392
437,40
438,11
439,215
440,371
441,34
442,249
443,145
444,131
445,97
446,94
447,64
448,20
449,137
450,10
451,33
452,40
453,76
454,117
455,118
456,137
457,117
458,134
459,26
460,147
461,37
462,315
463,26
464,26
465,278
466,33
467,313
468,18
469,26
470,117
471,94
472,145
473,188
474,120
475,29
476,10
477,10
478,40
479,26
480,147
481,113
482,40
483,20
484,37
485,72
486,115
487,145
488,40
489,94
490,137
491,246
492,26
493,40
494,290
495,142
496,34
497,193
498,43
499,11
500,40
501,26
502,131
503,117
504,133
505,52
506,145
507,116
508,145
509,145
510,303
511,278
512,145
513,350
514,118
515,145
516,40
517,26
518,11
519,145
520,323
521,342
522,249
523,35
524,11
525,11
526,41
527,11
528,26
529,11
530,26
531,278
532,34
533,130
534,32
535,26
536,318
537,278
538,11
539,115
540,40
541,94
542,40
543,17
544,41
545,26
546,201
547,178
548,11
549,263
550,34
551,40
552,94
553,131
554,40
555,41
556,293
557,96
558,25
559,140
560,20
561,116
562,56
563,134
564,146
565,10
566,335
567,40
568,20
569,117
570,20
571,310
572,94
573,29
574,94
575,293
576,30
577,147
578,117
579,117
580,40
581,94
582,293
583,327
584,40
585,96
586,130
587,278
588,40
589,117
590,278
591,117
592,137
593,167
594,30
595,40
596,117
597,11
598,319
599,10
600,40
601,97
602,34
603,40
604,20
605,40
606,40
607,142
608,118
609,130
610,117
611,37
612,131
613,231
614,263
615,40
616,147
617,10
618,81
619,94
620,173
621,145
622,11
623,327
624,175
625,96
626,278
627,131
628,33
629,40
630,37
631,25
632,186
633,10
634,96
635,96
636,8
637,33
638,96
639,392
640,26
641,287
642,11
643,140
644,368
645,145
646,20
647,349
648,393
649,131
650,140
651,34
652,142
653,94
654,21
655,118
656,131
657,140
658,103
659,25
660,28
661,25
662,25
663,330
664,251
665,10
666,10
667,117
668,20
669,267
670,96
671,97
672,147
673,179
674,40
675,147
676,132
677,77
678,345
679,118
680,20
681,40
682,94
683,11
684,137
685,170
686,192
687,137
688,278
689,311
690,395
691,145
692,40
693,20
694,26
695,324
696,111
697,353
698,353
699,131
700,311
701,40
702,20
703,117
704,94
705,94
706,324
707,40
708,117
709,145
710,278
711,94
712,40
713,113
714,192
715,355
716,40
717,40
718,120
719,94
720,120
721,133
722,11
723,163
724,20
725,94
726,29
727,40
728,40
729,11
730,350
731,101
732,147
733,8
734,37
735,192
736,96
737,94
738,10
739,118
740,11
741,192
742,10
743,11
744,108
745,324
746,3
747,20
748,20
749,11
750,145
751,40
752,94
753,192
754,36
755,117
756,287
757,11
758,94
759,338
760,145
761,11
762,140
763,144
764,353
765,381
766,278
767,148
768,40
769,11
770,11
771,40
772,145
773,94
774,253
775,7
776,272
777,40
778,40
779,40
780,306
781,94
782,327
783,113
784,40
785,131
786,11
787,40
788,96
789,10
790,21
791,21
792,137
793,96
794,52
795,25
796,10
797,40
798,20
799,117
800,305
801,249
802,117
803,10
804,263
805,41
806,299
807,2
808,320
809,40
810,10
811,20
812,11
813,148
814,249
815,10
816,11
817,140
818,146
819,20
820,205
821,41
822,40
823,20
824,119
825,25
826,192
827,29
828,94
829,117
830,40
831,249
832,140
833,96
834,34
835,25
836,301
837,11
838,138
839,96
840,69
841,225
842,287
843,192
844,118
845,11
846,40
847,25
848,145
849,25
850,113
851,148
852,113
853,368
854,145
855,13
856,231
857,131
858,29
859,94
860,117
861,10
862,10
863,92
864,125
865,7
866,327
867,20
868,41
869,130
870,96
871,262
872,118
873,192
874,278
875,96
876,26
877,287
878,14
879,33
880,134
881,97
882,40
883,25
884,40
885,131
886,40
887,220
888,29
889,145
890,40
891,119
892,116
893,324
894,134
895,20
896,40
897,3
898,147
899,199
900,287
901,11
902,113
903,11
904,12
905,142
906,3
907,11
908,319
909,137
910,119
911,172
912,77
913,94
914,278
915,133
916,11
917,110
918,140
919,11
920,25
921,287
922,117
923,145
924,145
925,305
926,120
927,40
928,137
929,323
930,325
931,24
932,11
933,192
934,10
935,30
936,366
937,25
938,358
939,20
940,26
941,350
942,25
943,11
944,57
945,345
946,40
947,215
948,118
949,278
950,3
951,130
952,278
953,40
954,26
955,94
956,26
957,17
958,192
959,118
960,11
961,334
962,120
963,34
964,287
965,96
966,33
967,40
968,11
969,11
970,25
971,327
972,115
973,33
974,15
975,365
976,11
977,40
978,140
979,263
980,40
981,293
982,287
983,96
984,133
985,332
986,20
987,26
988,37
989,138
990,154
991,116
992,117
993,118
994,119
995,8
996,34
997,145
998,77
999,147
1000,11
1001,34
1002,40
1003,250
1004,40
1005,287
1006,20
1007,34
1008,340
1009,327
1010,11
1011,350
1012,278
1013,11
1014,130
1015,335
1016,145
1017,17
1018,33
1019,119
1020,11
1021,20
1022,97
1023,94
1024,147
1025,19
1026,30
1027,32
1028,11
1029,40
1030,33
1031,11
1032,96
1033,46
1034,142
1035,192
1036,36
1037,256
1038,46
1039,32
1040,247
1041,306
1042,136
1043,43
1044,94
1045,114
1046,323
1047,372
1048,11
1049,67
1050,275
1051,21
1052,318
1053,134
1054,7
1055,96
1056,41
1057,40
1058,191
1059,130
1060,298
1061,365
1062,40
1063,40
1064,350
1065,26
1066,192
1067,28
1068,11
1069,215
1070,387
1071,36
1072,11
1073,241
1074,191
1075,318
1076,11
1077,335
1078,94
1079,350
1080,276
1081,197
1082,40
1083,145
1084,385
1085,387
1086,34
1087,299
1088,94
1089,94
1090,145
1091,2
1092,29
1093,40
1094,40
1095,33
1096,8
1097,117
1098,332
1099,97
1100,96
1101,332
1102,356
1103,10
1104,10
1105,96
1106,117
1107,123
1108,118
1109,241
1110,335
1111,311
1112,327
1113,117
1114,118
1115,40
1116,145
1117,40
1118,145
1119,9
1120,102
1121,26
1122,356
1123,20
1124,117
1125,11
1126,134
1127,192
1128,324
1129,118
1130,10
1131,209
1132,145
1133,29
1134,20
1135,145
1136,34
1137,11
1138,25
1139,11
1140,40
1141,130
1142,40
1143,40
1144,117
1145,34
1146,34
1147,323
1148,350
1149,350
1150,350
1151,350
1152,350
1153,350
1154,350
1155,350
1156,350
1157,350
1158,350
1159,350
1160,356
1161,356
1162,356
1163,356
1164,215
1165,33
1166,40
1167,336
1168,290
1169,317
1170,40
1171,40
1172,373
1173,386
1174,142
1175,94
1176,263
1177,268
1178,34
1179,306
1180,142
1181,293
1182,209
1183,34
1184,97
1185,278
1186,145
1187,40
1188,29
1189,8
1190,10
1191,40
1192,118
1193,94
1194,40
1195,52
1196,131
1197,355
1198,118
1199,266
1200,10
1201,20
1202,115
1203,20
1204,11
1205,26
1206,40
1207,197
1208,287
1209,116
1210,94
1211,147
1212,97
1213,147
1214,147
1215,11
1216,145
1217,96
1218,34
1219,258
1220,140
1221,37
1222,115
1223,117
1224,20
1225,239
1226,130
1227,117
1228,78
1229,138
1230,40
1231,145
1232,10
1233,145
1234,130
1235,20
1236,142
1237,40
1238,40
1239,40
1240,283
1241,130
1241,149
1242,113
1242,23
1243,64
1243,77
1244,147
1244,154
1245,132
1245,154
1246,251
1246,339
1247,117
1247,94
1248,116
1248,122
1249,117
1249,122
1250,147
1250,154
1251,353
1251,361
1252,117
1252,96
1253,11
1253,114
1254,143
1254,156
1255,122
1255,84
1256,11
1256,118
1257,268
1257,307
1258,268
1258,307
1259,195
1259,203
1260,126
1260,293
1261,10
1261,11
