"Id";"label";"Type"
400;"Alfred Abbey";"individu"
401;"Dorothy Abraham";"individu"
402;"Christine Adams";"individu"
403;"Kate Adamson";"individu"
404;"Violet Addis";"individu"
405;"Audrey Aimler";"individu"
406;"Sophia Albert";"individu"
407;"Ann Alice Alder";"individu"
408;"Grace Alderman";"individu"
409;"Isabella Alexander";"individu"
410;"Helen Allen";"individu"
411;"Margaret Allen";"individu"
412;"Louisa Garrett Anderson";"individu"
413;"Jessie Anscott";"individu"
414;"Lilian Armitage";"individu"
415;"Bessie Armstrong";"individu"
416;"Evelyn Armstrong";"individu"
417;"Kathleen Armstrong";"individu"
418;"Lily Asquith";"individu"
419;"Helen Atkinson";"individu"
420;"Mary Aves";"individu"
421;"Barbara Ayerton Gould";"individu"
422;"James Aylward";"individu"
423;"Bercha Bacon";"individu"
424;"Annie Baker";"individu"
425;"Frances Baker";"individu"
426;"Jessie Baker";"individu"
427;"Lizzie Baker";"individu"
428;"Ethel Violet Baldock";"individu"
429;"Lucy Baldock";"individu"
430;"Minnie Baldock";"individu"
431;"Etheltheda Ball";"individu"
432;"Gertrude Ballam";"individu"
433;"N Balls";"individu"
434;"Harry Bark";"individu"
435;"Grace Barber";"individu"
436;"Lady Barclay";"individu"
437;"A Barker";"individu"
438;"Lizzie Barkley";"individu"
439;"Dorothy Barnes";"individu"
440;"Arthur James Barnett";"individu"
441;"Mary Barnett";"individu"
442;"Rachel Barrett";"individu"
443;"Janet Barrowman";"individu"
444;"Elsie Bartlett";"individu"
445;"Alice Barton";"individu"
446;"Mary Bartum";"individu"
447;"Ellen Barnwell";"individu"
448;"Annie Batchelor";"individu"
449;"Joy Constance Beach";"individu"
450;"Ellen Beaver";"individu"
451;"Clara Bechstein";"individu"
452;"A K Bechenna";"individu"
453;"B Beldon";"individu"
454;"Mary Beldon";"individu"
455;"May Bellinghurst";"individu"
456;"Blanche Bennett";"individu"
457;"Dorothy Bennett";"individu"
458;"Dorothea Benson";"individu"
459;"Elizabeth Billing";"individu"
460;"Rosa May Billinghurst";"individu"
461;"Norah Binnie";"individu"
462;"Miss Black";"individu"
463;"Albert Bond";"individu"
464;"Richard Bond";"individu"
465;"James Booty";"individu"
466;"Lillian Borovikovsky";"individu"
467;"Dorothea Boulter";"individu"
468;"Helen Bourchier";"individu"
469;"Grace Hudson Boutelle";"individu"
470;"Charlotte Bower";"individu"
471;"J Boyd";"individu"
472;"Hilda Brackenbury";"individu"
473;"Frank Brailsford";"individu"
474;"Emily Brandon";"individu"
475;"Edith Bremner";"individu"
476;"Helen Briddle";"individu"
477;"Florence Bright";"individu"
478;"J Brindley";"individu"
479;"Maud Brindley";"individu"
480;"Alice Bristey";"individu"
481;"Katherine Broadhurst";"individu"
482;"Mrs Brooke";"individu"
483;"Ellen Brooks";"individu"
484;"Ada Broughton";"individu"
485;"Amelia Brown";"individu"
486;"Catheine Brown";"individu"
487;"Jeanie Brown";"individu"
488;"J C Brown";"individu"
489;"Mrs M Brown";"individu"
490;"Marie Brown";"individu"
491;"Mary Brown";"individu"
492;"Robert Henry Brown";"individu"
493;"M Browne";"individu"
494;"Emma Buchell";"individu"
495;"Agnes Buckton";"individu"
496;"Thomas Mortimer Budgett";"individu"
497;"Grace Edith Burbidge";"individu"
498;"Florence Burley";"individu"
499;"Mary BurroWM";"individu"
500;"Alice Burton";"individu"
501;"John Thomas Button";"individu"
502;"Ada Cairns";"individu"
503;"Ida Cairns";"individu"
504;"Mary Callender";"individu"
505;"Gieta Cameron";"individu"
506;"Fanny Campbell";"individu"
507;"Lucy Campbell";"individu"
508;"Margery Campbell";"individu"
509;"Mary Carlyn";"individu"
510;"Janet Carson";"individu"
511;"George Carter";"individu"
512;"Josephine Carter";"individu"
513;"James Cassidy";"individu"
514;"Helen Cave";"individu"
515;"Constance Chambers";"individu"
516;"M Chanot";"individu"
517;"Henry Chase";"individu"
518;"Emilia Cimins";"individu"
519;"Edith Clarence";"individu"
520;"Emily Clarke";"individu"
521;"Helen Clarke";"individu"
522;"G Clayton";"individu"
523;"Joseph Clayton";"individu"
524;"Margaret Clayton";"individu"
525;"Celia Clifford";"individu"
526;"Lily Clunes";"individu"
527;"Constance Clyde";"individu"
528;"Janet Coates";"individu"
529;"Lillian Cobbe";"individu"
530;"Clara Codd";"individu"
531;"Daisy Cole";"individu"
532;"Margaret Davies Colley";"individu"
533;"Helen Collier";"individu"
534;"Elizabeth Collins";"individu"
535;"Henry Collitt";"individu"
536;"Cantinia Conciatore";"individu"
537;"Benn Conn";"individu"
538;"Dinah Connelly";"individu"
539;"Margaret Connery";"individu"
540;"Miss Conolan";"individu"
541;"G Conalon";"individu"
542;"K Conran";"individu"
543;"Mabel Cook";"individu"
544;"Florence Cooke";"individu"
545;"Chao Cookson";"individu"
546;"Jane Cooper";"individu"
547;"Mary Cooper";"individu"
548;"Ruth Cooper";"individu"
549;"Stanley Cooper";"individu"
550;"Catherine Isabe Corbett";"individu"
551;"C J Corbett";"individu"
552;"K Corcoran";"individu"
553;"Sarah Corner";"individu"
554;"R Cornish";"individu"
555;"Agnes Dalample Corson";"individu"
556;"A A F Counter";"individu"
557;"Margaret Cousins";"individu"
558;"Thiza Cove";"individu"
559;"Molly Cowen";"individu"
560;"Emily Cowley";"individu"
561;"Annie Rhoda Craig";"individu"
562;"Edith Cranston";"individu"
563;"Sarah Crees";"individu"
564;"Helen Creiggs";"individu"
565;"John Edward Croft";"individu"
566;"Mathilda Cubley";"individu"
567;"L Cullen";"individu"
568;"Louisa Cullen";"individu"
569;"Jessie Cumberland";"individu"
570;"Ida Cunard";"individu"
571;"Currie";"individu"
572;"A Cuthbert";"individu"
573;"Arnold Cutler";"individu"
574;"E Dahl";"individu"
