"from","to"
"Fernando Lobo Lemes","José Jorge Pessanha Santiago"
"Fernando Lobo Lemes","Laurent Vidal"
"Fernando Lobo Lemes","Micéala Symington"
"Fernando Lobo Lemes","Nancy L. Green"
"José Jorge Pessanha Santiago","Fernando Lobo Lemes"
"José Jorge Pessanha Santiago","Laurent Vidal"
"José Jorge Pessanha Santiago","Micéala Symington"
"José Jorge Pessanha Santiago","Nancy L. Green"
"Laurent Vidal","Fernando Lobo Lemes"
"Laurent Vidal","José Jorge Pessanha Santiago"
"Laurent Vidal","Micéala Symington"
"Laurent Vidal","Nancy L. Green"
"Micéala Symington","Fernando Lobo Lemes"
"Micéala Symington","José Jorge Pessanha Santiago"
"Micéala Symington","Laurent Vidal"
"Micéala Symington","Nancy L. Green"
"Nancy L. Green","Fernando Lobo Lemes"
"Nancy L. Green","José Jorge Pessanha Santiago"
"Nancy L. Green","Laurent Vidal"
"Nancy L. Green","Micéala Symington"
"Nancy L. Green","Clarisse Berthezène"
"Nancy L. Green","Marie-Emmanuelle Chessel"
"Nancy L. Green","Rebecca Rogers"
"Charles Illouz","Didier Poton de Xaintrailles"
"Charles Illouz","François Brizay"
"Charles Illouz","François-Joseph Ruggiu"
"Charles Illouz","Michel Figeac"
"Charles Illouz","Prosper Ève"
"Didier Poton de Xaintrailles","Charles Illouz"
"Didier Poton de Xaintrailles","François Brizay"
"Didier Poton de Xaintrailles","François-Joseph Ruggiu"
"Didier Poton de Xaintrailles","Michel Figeac"
"Didier Poton de Xaintrailles","Prosper Ève"
"Didier Poton de Xaintrailles","Dominique Marquis"
"Didier Poton de Xaintrailles","Guy Laperrière"
"Didier Poton de Xaintrailles","Patrick Cabanel"
"Didier Poton de Xaintrailles","Paul-André Linteau"
"Didier Poton de Xaintrailles","Tangi Villerbu"
"François Brizay","Charles Illouz"
"François Brizay","Didier Poton de Xaintrailles"
"François Brizay","François-Joseph Ruggiu"
"François Brizay","Michel Figeac"
"François Brizay","Prosper Ève"
"François-Joseph Ruggiu","Charles Illouz"
"François-Joseph Ruggiu","Didier Poton de Xaintrailles"
"François-Joseph Ruggiu","François Brizay"
"François-Joseph Ruggiu","Michel Figeac"
"François-Joseph Ruggiu","Prosper Ève"
"François-Joseph Ruggiu","Anna Bellavitis"
"François-Joseph Ruggiu","Pascal Bastien"
"François-Joseph Ruggiu","Nicolas Le Roux"
"François-Joseph Ruggiu","Scarlett Beauvalet-Boutouyrie"
"François-Joseph Ruggiu","Sylvie Mouysset"
"François-Joseph Ruggiu","Maaike Van Der Lugt"
"François-Joseph Ruggiu","Michel Porret"
"François-Joseph Ruggiu","Sylvie Steinberg"
"François-Joseph Ruggiu","Daniel Roche"
"François-Joseph Ruggiu","Reynald Abad"
"Michel Figeac","Charles Illouz"
"Michel Figeac","Didier Poton de Xaintrailles"
"Michel Figeac","François Brizay"
"Michel Figeac","François-Joseph Ruggiu"
"Michel Figeac","Prosper Ève"
"Michel Figeac","Benoît Grenier"
"Michel Figeac","Hélène Harter"
"Michel Figeac","Jean-François Dunyach"
"Michel Figeac","Philippe Martin"
"Michel Figeac","Elizabeth C. Tingle"
"Michel Figeac","Katsumi Fukasawa"
"Michel Figeac","Pierre Antoine Fabre"
"Michel Figeac","Éric Suire"
"Michel Figeac","Christian Michel"
"Michel Figeac","Pauline Lemaigre-Gaffier"
"Michel Figeac","Ilona Czamańska"
"Michel Figeac","Maciej Forycki"
"Michel Figeac","Zofia Zielińska"
"Prosper Ève","Charles Illouz"
"Prosper Ève","Didier Poton de Xaintrailles"
"Prosper Ève","François Brizay"
"Prosper Ève","François-Joseph Ruggiu"
"Prosper Ève","Michel Figeac"
"Prosper Ève","Ainouddine Sidi"
"Prosper Ève","Barthélémy Manjakahery"
"Prosper Ève","Jean-Yves Puyo"
"Prosper Ève","Sébastien Mustière"
"Benoît Grenier","Michel Figeac"
"Benoît Grenier","Hélène Harter"
"Benoît Grenier","Jean-François Dunyach"
"Benoît Grenier","Hélène Débax"
"Benoît Grenier","Daniel Le Blévec"
